Scenario_SplHitLine(Clone)_1
time;Consigne;PlayerMvt;Hit;BPM;Ax /;Ay /;Az /;Gx /;Gy /;Gz /;Mx /;My /;Mz /;Gesture /;probability/
4,163211;89,99885;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,183211;89,99885;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,203211;89,99885;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,223211;89,99885;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,243211;89,99873;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,263211;89,99871;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,283211;89,99871;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,303211;89,9986;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,323211;89,9986;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,343211;89,99846;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,363211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,383211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,403211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,423211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,443211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,463211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,483211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,503211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,523211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,543211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,563211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,58321;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,603211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,62321;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,643211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,663211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,683211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,703211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
